1996,43,0,23687,0.00
1997,34,0,25098,5.96
1998,33,0,28090,11.92
1999,32,0,32541,15.85
2000,32,0,35693,9.69
2001,31,0,38188,6.99
2002,31,0,41346,8.27
2003,31,0,43443,5.07
2004,32,0,41524,-4.42
2005,35,0,40534,-2.38
2006,32,0,43591,7.54
2007,38,0,45088,3.43
2008,38,0,47385,5.09
2009,35,0,47060,-0.69
2010,35,0,48098,2.21
2011,35,73.2,53449,11.13
2012,37,73,60832,13.81
2013,38,75.2,67391,10.78
2014,39,67.4,73448,8.99
2015,37,68.6,78061,6.28
2016,39,72.2,84206,7.87
2017,44,73.2,88448,5.04
2018,42,78.7,97898,10.68
